Joao Eduardo Ferreira,IME/USP,69/279
Joao Fabro,UTFPR,02/6407
Joao Gluz,Unisinos,55/3847
Joao Luiz Bernardes Junior,EACH/USP,204/2137
Joao Marcos de Almeida,UFRN,00/3290-1
Joao Meidanis,UNICAMP,/m/JoaoMeidanis
Joao Paixao,DCC/UFRJ,60/10141
Joao Paulo Almeida,UFES,91/3408
Joao Paulo Gois,UFABC,61/6783
Joao Paulo Papa,UNESP,96/3441
Joao Paulo Pordeus Gomes,UFC,163/4376
Joao Paulo Silva do Monte Lima,UFRPE,139/8825
Joao Vicente Ferreira Lima,UFSM,182/1206
Joaquim Cavalcante,UFC,66/895
Joaquim Celestino,UECE,97/7714
Joel Rodrigues,Inatel,25/3419
Joice Otsuka,UFSCar,94/1828
Jomi Hubner,UFSC,h/JomiFredHubner
Jonathan de Andrade Silva,UFMS,31/1395
Joni da Silva Fraga,UFSC,14/4748
Jonice Oliveira,DCC/UFRJ,o/JoniceOliveira
Jorge Figueiredo,UFCG,06/3004
Jorge Luis Victoria Barbosa,Unisinos,72/3050
Jorge Stolfi,UNICAMP,20/5139
Jose Alfredo Ferreira Costa,UFRN,51/4829
Jose Antonio Fernandes de Macedo,UFC,f/JAFernandesdeMacedo
Jose Augusto Baranauskas,FFCLRP/USP,50/5944
Jose Carlos Maldonado,ICMC/USP,28/2292
Jose De Souza,UFC,59/1568
Jose Fernando Rodrigues Junior,ICMC/USP,r/JoseFernandoRodriguesJr
Jose Ferreira de Rezende,COPPE/UFRJ,r/JoseFerreiradeRezende
Jose Francisco Netto,UFAM,152/1696
Jose Guilherme Santa Rosa,UFRN,131/9179
Jose Gustavo Paiva,UFU,40/10398
Jose Luis Guntzel,UFSC,04/3287
Jose Marcos Nogueira,UFMG,n/JoseMarcosSNogueira
Jose Maria David,UFJF,63/4089
Jose Neuman de Souza,UFC,02/4334
Jose Palazzo de Oliveira,UFRGS,o/JosePalazzoMoreiradeOliveira
Jose Remo Brega,UNESP,76/2398
Jose Suruagy Monteiro,UFPE,76/2855
Jose Valdeni De Lima,UFRGS,l/JVdeLima
Jose Viterbo,UFF,15/374
Judith Kelner,UFPE,10/1554
Jugurta Lisboa Filho,UFV,l/JugurtaLisboaFilho
Juliana Bueno,UFPR,56/2304
Juliana Kaizer Vizzotto,UFSM,21/1450
Juliana Valerio,DCC/UFRJ,51/9754
Juliano Iyoda,UFPE,72/4526
Julio Cesar Nievola,PUC-PR,62/6863
Julio Cesar Silva Araujo,UFC,21/8045
Julio Dos Reis,UNICAMP,71/7193
Julio Leite,PUC-Rio,l/JCSdoPradoLeite
Julio Lopez Hernandez,UNICAMP,/l/JulioLopezHernandez
Junia Coutinho Anacleto Silva,UFSCar,a/JuniaCoutinhoAnacletoSilva
Junior Barrera,IME/USP,96/271
Jurandy Almeida,UNIFESP,30/2806
Jussara Almeida,UFMG,34/5480
Kalinka Castelo Branco,ICMC/USP,05/5676
Kamila Rodrigues,ICMC/USP,135/0936
Karin Becker,UFRGS,00/3080
Karina Mochetti,UFF,72/7881
Karina Valdivia Delgado,IME/USP,30/6146
Kate Revoredo,UNIRIO,67/1904
Kecia Ferreira,CEFET-MG,121/2557
Kelvin Lopes Dias,UFPE,09/4470
Kiev Gama,UFPE,46/3866
Laercio Pilla,UFSC,75/2582
Lasaro Camargos,UFU,54/1243
Laura Sanchez Garcia,UFPR,58/488
Laurence Amaral,UFU,09/8570
Leandro Balby Marinho,UFCG,59/4973
Leandro Fernandes,UFF,48/5542
Leandro Marzulo,UERJ,61/997
Leandro Villas,UNICAMP,64/7382
Lehilton Pedrosa,UNICAMP,117/0708
Leila Ribeiro,UFRGS,r/LeilaRibeiro
Leila Silva,UFS,26/5446
Leliane Nunes de Barros,IME/USP,51/6275
Leobino Sampaio,UFBA,56/3926
Leonardo Barbosa,UFMG,22/175
Leonardo Cunha de Miranda,UFRN,78/137
Leonardo Fagundes,UVRS,99/217
Leonardo Montecchi,UNICAMP,30/2196
Leonardo Murta,UFF,25/3645
Leonardo Sampaio Rocha,UECE,153/4515
Leonardo Torok,UFF,156/7125
Leonardo da Rocha,UFSJ,89/1792
Leonelo Almeida,UTFPR,15/289
Leonidas Brandao,IME/USP,22/6910
Leopoldo Teixeira,UFPE,62/8372
Leticia Peres,UFPR,168/7362
Leticia Rittner,FEEC/UNICAMP,36/2977
Li Weigang,UnB,l/WeigangLi
Liane Tarouco,UFRGS,20/369
Liliane Machado,UFPB,59/735
Lincoln Rocha,UFC,31/6913
Linnyer Ruiz,UEM,76/825
Liria Sato,POLI/USP,94/109
Lisandra Fontoura,UFSM,57/1983
Lisandro Zambenedetti Granville,UFRGS,52/4475
Loana Tito Nogueira,UFF,79/4445
Loic Cerf,UFMG,43/3578
